초성,gender,vibe,english_name,meaning,description
ㄱ,M,지적,Gabriel,신의 전령,지성과 영성을 겸비한 이름으로 깊은 사색과 분석력을 상징해요.
ㄱ,M,활발한,Gavin,흰 매,에너지가 넘치고 자유로운 영혼을 가진 이름이에요.
ㄱ,M,강렬한,Grant,위대한,강한 의지와 카리스마를 지닌 리더십을 상징해요.
ㄱ,M,부드러운,Glen,계곡,자연처럼 포용력 있고 따뜻한 마음을 담은 이름이에요.
ㄱ,M,클래식,George,땅을 경작하는 자,시대를 초월한 품격과 신뢰감을 지닌 이름이에요.
ㄱ,F,지적,Grace,은총,우아한 지성과 내면의 아름다움을 상징해요.
ㄱ,F,활발한,Gia,하나님의 은혜,활기차고 생동감 넘치는 매력을 가진 이름이에요.
ㄱ,F,강렬한,Gemma,보석,빛나는 존재감과 강인한 아름다움을 상징해요.
ㄱ,F,부드러운,Gloria,영광,따뜻한 빛처럼 주변을 밝히는 이름이에요.
ㄱ,F,클래식,Gwendolyn,흰 반지,클래식한 품격과 신비로운 매력을 지닌 이름이에요.
ㄱ,U,강렬한,Genesis,시작,새로운 시작의 강인한 에너지를 담은 이름이에요.
ㄴ,M,지적,Nathan,하나님이 주신,깊은 사고와 지혜를 상징하는 이름이에요.
ㄴ,M,활발한,Noah,위안,따뜻하고 긍정적인 에너지를 발산하는 이름이에요.
ㄴ,M,강렬한,Nero,강인한,강렬한 존재감과 불굴의 의지를 상징해요.
ㄴ,M,부드러운,Neil,열정,부드러운 카리스마와 진실된 마음을 담은 이름이에요.
ㄴ,M,클래식,Norman,북쪽 사람,전통적인 신뢰감과 안정감을 주는 이름이에요.
ㄴ,F,지적,Nora,명예,지적이고 독립적인 정신을 상징하는 이름이에요.
ㄴ,F,활발한,Naomi,기쁨,밝고 활기찬 에너지로 주변을 물들이는 이름이에요.
ㄴ,F,강렬한,Nina,불굴의,강렬한 개성과 뚜렷한 존재감을 지닌 이름이에요.
ㄴ,F,부드러운,Nicole,승리,우아하고 섬세한 아름다움을 가진 이름이에요.
ㄴ,F,클래식,Natalie,크리스마스에 태어난,클래식한 아름다움과 따뜻함을 담은 이름이에요.
ㄴ,U,지적,Nova,새로운 별,지적이고 빛나는 존재감을 상징하는 이름이에요.
ㄷ,M,지적,Daniel,하나님의 재판관,깊은 통찰력과 지혜를 상징하는 이름이에요.
ㄷ,M,활발한,Dylan,바다의 아들,자유롭고 창의적인 에너지를 가진 이름이에요.
ㄷ,M,강렬한,Drake,용,강인하고 카리스마 넘치는 존재감을 상징해요.
ㄷ,M,부드러운,Dean,계곡,차분하고 신뢰감 있는 따뜻한 이름이에요.
ㄷ,M,클래식,Donald,위대한 족장,전통적인 권위와 신뢰를 담은 이름이에요.
ㄷ,F,지적,Diana,달의 여신,지적이고 독립적인 강인함을 상징하는 이름이에요.
ㄷ,F,활발한,Daisy,낮의 눈,순수하고 밝은 에너지로 가득한 이름이에요.
ㄷ,F,강렬한,Demi,강렬한,강렬한 개성과 매력적인 카리스마를 지닌 이름이에요.
ㄷ,F,부드러운,Delilah,섬세한,부드럽고 섬세한 아름다움을 담은 이름이에요.
ㄷ,F,클래식,Dorothy,하나님의 선물,클래식한 품격과 따뜻한 마음을 가진 이름이에요.
ㄷ,U,활발한,Devon,시인,창의적이고 활기찬 에너지를 담은 이름이에요.
ㄹ,M,지적,Ryan,작은 왕,지적이고 리더십 있는 존재감을 상징해요.
ㄹ,M,활발한,Robin,밝은 명성,활기차고 친근한 에너지를 가진 이름이에요.
ㄹ,M,강렬한,Rex,왕,강렬한 왕의 기운과 카리스마를 상징하는 이름이에요.
ㄹ,M,부드러운,Leo,사자,따뜻하고 용감한 마음을 담은 이름이에요.
ㄹ,M,클래식,Lawrence,명예,전통적인 품격과 고귀함을 지닌 이름이에요.
ㄹ,F,지적,Rachel,어린 암양,따뜻한 지성과 섬세한 감성을 상징하는 이름이에요.
ㄹ,F,활발한,Riley,용감한,활발하고 독립적인 에너지를 가진 이름이에요.
ㄹ,F,강렬한,Rosa,장미,강렬한 아름다움과 열정을 상징하는 이름이에요.
ㄹ,F,부드러운,Luna,달,신비롭고 부드러운 아름다움을 지닌 이름이에요.
ㄹ,F,클래식,Laura,월계수,클래식한 우아함과 지성을 담은 이름이에요.
ㄹ,U,강렬한,Raven,까마귀,신비롭고 강렬한 존재감을 상징하는 이름이에요.
ㅁ,M,지적,Marcus,전쟁의 신,깊은 사고력과 전략적 지성을 상징해요.
ㅁ,M,활발한,Max,위대한,에너지 넘치고 긍정적인 존재감을 가진 이름이에요.
ㅁ,M,강렬한,Maverick,독불장군,강렬한 독립심과 개성을 상징하는 이름이에요.
ㅁ,M,부드러운,Miles,자비로운,부드럽고 섬세한 감성을 가진 이름이에요.
ㅁ,M,클래식,Michael,하나님과 같은 자,시대를 초월한 강인함과 신뢰를 지닌 이름이에요.
ㅁ,F,지적,Mia,사랑받는,지적이고 세련된 아름다움을 상징하는 이름이에요.
ㅁ,F,활발한,Maya,환상,밝고 창의적인 에너지로 가득한 이름이에요.
ㅁ,F,강렬한,Morgan,바다 전사,강인하고 독립적인 존재감을 지닌 이름이에요.
ㅁ,F,부드러운,Molly,바다의 별,따뜻하고 포용적인 아름다움을 담은 이름이에요.
ㅁ,F,클래식,Margaret,진주,클래식한 품격과 고귀함을 상징하는 이름이에요.
ㅁ,U,지적,Monroe,강의 입구,지적이고 세련된 존재감을 상징하는 이름이에요.
ㅂ,M,지적,Benjamin,오른손의 아들,지적이고 신뢰받는 존재감을 상징해요.
ㅂ,M,활발한,Blake,빛나는,활기차고 개성 있는 에너지를 가진 이름이에요.
ㅂ,M,강렬한,Blaze,불꽃,강렬하고 열정적인 존재감을 상징하는 이름이에요.
ㅂ,M,부드러운,Bradley,넓은 잔디밭,차분하고 안정적인 따뜻함을 지닌 이름이에요.
ㅂ,M,클래식,Bernard,곰처럼 용감한,전통적인 강인함과 신뢰를 담은 이름이에요.
ㅂ,F,지적,Bridget,강한,지적이고 강인한 독립심을 상징하는 이름이에요.
ㅂ,F,활발한,Brooke,작은 시냇물,자유롭고 활기찬 에너지를 가진 이름이에요.
ㅂ,F,강렬한,Bella,아름다운,강렬한 아름다움과 매력을 상징하는 이름이에요.
ㅂ,F,부드러운,Beth,하나님의 맹세,따뜻하고 진실된 마음을 담은 이름이에요.
ㅂ,F,클래식,Barbara,고귀한,클래식한 존재감과 강인한 품격을 지닌 이름이에요.
ㅂ,U,강렬한,Bryce,점박이,강렬하고 독특한 존재감을 상징하는 이름이에요.
ㅅ,M,지적,Sebastian,존경받는,깊은 지성과 고귀한 품격을 상징해요.
ㅅ,M,활발한,Samuel,하나님이 들으신,따뜻하고 활기찬 긍정 에너지를 가진 이름이에요.
ㅅ,M,강렬한,Steele,강철,강렬하고 불굴의 의지를 상징하는 이름이에요.
ㅅ,M,부드러운,Simon,듣는 자,부드럽고 섬세한 감성을 담은 이름이에요.
ㅅ,M,클래식,Stephen,왕관,시대를 초월한 권위와 신뢰를 지닌 이름이에요.
ㅅ,F,지적,Sophia,지혜,지적이고 우아한 아름다움을 상징하는 이름이에요.
ㅅ,F,활발한,Sunny,햇빛,밝고 긍정적인 에너지로 가득한 이름이에요.
ㅅ,F,강렬한,Stella,별,강렬하게 빛나는 존재감을 상징하는 이름이에요.
ㅅ,F,부드러운,Sage,현명한,고요하고 지혜로운 아름다움을 담은 이름이에요.
ㅅ,F,클래식,Susan,백합,클래식한 우아함과 순수함을 상징하는 이름이에요.
ㅅ,U,지적,Sterling,순수한 별,지적이고 빛나는 존재감을 상징하는 이름이에요.
ㅇ,M,지적,Ethan,강한,강인한 지성과 의지를 상징하는 이름이에요.
ㅇ,M,활발한,Owen,어린 전사,활기차고 열정적인 에너지를 가진 이름이에요.
ㅇ,M,강렬한,Abel,숨결,강렬한 존재감과 깊은 영혼을 상징해요.
ㅇ,M,부드러운,Alan,조화,따뜻하고 조화로운 마음을 담은 이름이에요.
ㅇ,M,클래식,Arthur,곰,시대를 초월한 강인한 품격을 지닌 이름이에요.
ㅇ,F,지적,Alice,고귀한,지적이고 독립적인 지성미를 상징하는 이름이에요.
ㅇ,F,활발한,Aurora,새벽,빛나고 활기찬 아름다움을 가진 이름이에요.
ㅇ,F,강렬한,Eva,생명,강렬한 생명력과 존재감을 상징하는 이름이에요.
ㅇ,F,부드러운,Amy,사랑받는,따뜻하고 포용적인 아름다움을 담은 이름이에요.
ㅇ,F,클래식,Eleanor,밝은 빛,클래식한 우아함과 지성을 상징하는 이름이에요.
ㅇ,U,강렬한,Axel,아버지의 평화,강렬하고 독립적인 존재감을 상징하는 이름이에요.
ㅈ,M,지적,Julian,빛나는,깊은 사색과 지성을 상징하는 이름이에요.
ㅈ,M,활발한,Jesse,하나님의 선물,자유롭고 활기찬 에너지를 가진 이름이에요.
ㅈ,M,강렬한,Jax,강인한,강렬하고 카리스마 넘치는 이름이에요.
ㅈ,M,부드러운,Jasper,보물,고요하고 따뜻한 존재감을 담은 이름이에요.
ㅈ,M,클래식,James,대체하는 자,시대를 초월한 신뢰와 권위를 지닌 이름이에요.
ㅈ,F,지적,Julia,빛나는,우아한 지성과 독립적인 정신을 상징해요.
ㅈ,F,활발한,Joy,기쁨,밝고 긍정적인 에너지가 넘치는 이름이에요.
ㅈ,F,강렬한,Jade,녹옥,강렬한 아름다움과 귀한 존재감을 상징해요.
ㅈ,F,부드러운,Jasmine,재스민 꽃,우아하고 향기로운 아름다움을 담은 이름이에요.
ㅈ,F,클래식,Jane,하나님은 자비로우신,클래식한 우아함과 진실됨을 지닌 이름이에요.
ㅈ,U,지적,Jordan,내려가는 강,지적이고 유연한 존재감을 상징하는 이름이에요.
ㅊ,M,지적,Charles,자유인,깊은 지성과 클래식한 권위를 상징해요.
ㅊ,M,활발한,Chase,사냥꾼,활기차고 적극적인 에너지를 가진 이름이에요.
ㅊ,M,강렬한,Cruz,십자가,강렬한 신념과 존재감을 상징하는 이름이에요.
ㅊ,M,부드러운,Colin,비둘기,따뜻하고 부드러운 마음을 담은 이름이에요.
ㅊ,M,클래식,Christopher,그리스도를 품은 자,시대를 초월한 품격과 신뢰를 지닌 이름이에요.
ㅊ,F,지적,Claire,밝은,지적이고 명석한 아름다움을 상징하는 이름이에요.
ㅊ,F,활발한,Chloe,새싹,활기차고 신선한 에너지를 가진 이름이에요.
ㅊ,F,강렬한,Carmen,노래,강렬한 열정과 예술적 감성을 지닌 이름이에요.
ㅊ,F,부드러운,Cleo,영광,우아하고 신비로운 아름다움을 담은 이름이에요.
ㅊ,F,클래식,Catherine,순수한,클래식한 품격과 고귀함을 상징하는 이름이에요.
ㅊ,U,강렬한,Cyan,파란 하늘,강렬하고 선명한 존재감을 상징하는 이름이에요.
ㅋ,M,지적,Kenneth,영리한,지적이고 명석한 존재감을 상징하는 이름이에요.
ㅋ,M,활발한,Kai,바다,자유롭고 활기찬 에너지를 가진 이름이에요.
ㅋ,M,강렬한,Knox,언덕,강인하고 불굴의 의지를 상징하는 이름이에요.
ㅋ,M,부드러운,Kyle,해협,차분하고 신뢰감 있는 마음을 담은 이름이에요.
ㅋ,M,클래식,Kevin,온화한,전통적인 친근함과 신뢰를 지닌 이름이에요.
ㅋ,F,지적,Kate,순수한,지적이고 세련된 존재감을 상징하는 이름이에요.
ㅋ,F,활발한,Kylie,부메랑,활기차고 독립적인 에너지를 가진 이름이에요.
ㅋ,F,강렬한,Kira,태양,강렬하게 빛나는 존재감을 상징하는 이름이에요.
ㅋ,F,부드러운,Kim,초원,따뜻하고 친근한 아름다움을 담은 이름이에요.
ㅋ,F,클래식,Karen,순수한,클래식하고 친근한 신뢰감을 지닌 이름이에요.
ㅋ,U,지적,Kenji,건강한 두 번째,지적이고 균형 잡힌 존재감을 상징하는 이름이에요.
ㅌ,M,지적,Theodore,하나님의 선물,깊은 사고와 고귀한 지성을 상징해요.
ㅌ,M,활발한,Tyler,지붕 타일 장인,활기차고 실용적인 에너지를 가진 이름이에요.
ㅌ,M,강렬한,Titan,거인,강렬하고 압도적인 존재감을 상징하는 이름이에요.
ㅌ,M,부드러운,Tim,하나님을 공경하는,따뜻하고 겸손한 마음을 담은 이름이에요.
ㅌ,M,클래식,Thomas,쌍둥이,시대를 초월한 신뢰와 안정을 지닌 이름이에요.
ㅌ,F,지적,Tessa,수확하는 자,지적이고 실용적인 아름다움을 상징하는 이름이에요.
ㅌ,F,활발한,Taylor,재단사,자유롭고 개성 있는 에너지를 가진 이름이에요.
ㅌ,F,강렬한,Tempest,폭풍,강렬하고 역동적인 존재감을 상징하는 이름이에요.
ㅌ,F,부드러운,Tara,언덕,고요하고 안정적인 아름다움을 담은 이름이에요.
ㅌ,F,클래식,Teresa,수확,클래식한 헌신과 따뜻함을 지닌 이름이에요.
ㅌ,U,강렬한,Trace,흔적,강렬한 인상과 독특한 존재감을 상징하는 이름이에요.
ㅍ,M,지적,Philip,말을 사랑하는,깊은 지식과 탐구 정신을 상징하는 이름이에요.
ㅍ,M,활발한,Parker,공원 관리인,활기차고 자유로운 에너지를 가진 이름이에요.
ㅍ,M,강렬한,Phoenix,불사조,강렬한 재생과 불굴의 의지를 상징해요.
ㅍ,M,부드러운,Percy,계곡,따뜻하고 섬세한 감성을 담은 이름이에요.
ㅍ,M,클래식,Patrick,귀족,전통적인 고귀함과 신뢰를 지닌 이름이에요.
ㅍ,F,지적,Penelope,베를 짜는 자,지혜롭고 인내력 있는 지성을 상징하는 이름이에요.
ㅍ,F,활발한,Piper,피리 부는 자,활기차고 음악적인 에너지를 가진 이름이에요.
ㅍ,F,강렬한,Petra,바위,강인하고 불굴의 존재감을 상징하는 이름이에요.
ㅍ,F,부드러운,Paige,어린 학생,섬세하고 배움을 사랑하는 마음을 담은 이름이에요.
ㅍ,F,클래식,Patricia,귀족,클래식한 품격과 고귀함을 상징하는 이름이에요.
ㅍ,U,강렬한,Pierce,바위,강렬하고 날카로운 존재감을 상징하는 이름이에요.
ㅎ,M,지적,Harvey,불타는 전투,깊은 사고와 열정적인 지성을 상징하는 이름이에요.
ㅎ,M,활발한,Hunter,사냥꾼,활기차고 목표 지향적인 에너지를 가진 이름이에요.
ㅎ,M,강렬한,Hawk,매,강렬하고 예리한 존재감을 상징하는 이름이에요.
ㅎ,M,부드러운,Hugh,지성,따뜻하고 사려 깊은 마음을 담은 이름이에요.
ㅎ,M,클래식,Henry,집의 주인,시대를 초월한 권위와 신뢰를 지닌 이름이에요.
ㅎ,F,지적,Helena,밝은 빛,지적이고 빛나는 아름다움을 상징하는 이름이에요.
ㅎ,F,활발한,Harper,하프 연주자,창의적이고 활기찬 에너지를 가진 이름이에요.
ㅎ,F,강렬한,Haven,피난처,강인하고 보호적인 존재감을 상징하는 이름이에요.
ㅎ,F,부드러운,Hannah,은혜,따뜻하고 포용적인 아름다움을 담은 이름이에요.
ㅎ,F,클래식,Helen,밝은 빛,클래식한 아름다움과 지성을 상징하는 이름이에요.
ㅎ,U,강렬한,Harley,산 토끼,강렬하고 자유로운 존재감을 상징하는 이름이에요.
